"drive_id","drive_start","drive_end"
"2019_16_DAL_PHI_19","Punt","Field Goal"
"2019_08_DEN_IND_18","Punt","Turnover"
"2018_10_DET_CHI_20","Punt","Touchdown"
"2018_04_BUF_GB_17","Punt","Punt"
"2020_16_SF_ARI_22","Interception","Field Goal"
"2016_06_NYJ_ARI_17","Punt","Touchdown"
"2017_06_SF_WAS_12","Kickoff","Touchdown"
"2017_16_MIA_KC_3","Kickoff","Field Goal"
"2016_04_DEN_TB_11","Punt","Turnover"
"2016_05_CHI_IND_18","Kickoff","Touchdown"
"2020_14_NO_PHI_14","Punt","Touchdown"
"2016_06_IND_HOU_20","Kickoff","Punt"
"2017_11_KC_NYG_24","Punt","Field Goal"
"2017_03_DAL_ARI_10","Kickoff","Punt"
"2017_10_CIN_TEN_23","Punt","Punt"
"2017_17_WAS_NYG_18","Interception","Punt"
"2018_16_ATL_CAR_22","Fumble","Punt"
"2020_16_PHI_DAL_22","Interception","Punt"
"2020_02_CAR_TB_4","Kickoff","Turnover"
"2018_02_PHI_TB_7","Fumble","Turnover"
"2021_01_JAX_HOU_17","Punt","Punt"
"2020_04_IND_CHI_20","Interception","Field Goal"
"2020_12_KC_TB_10","Fumble","Touchdown"
"2017_08_MIA_BAL_9","Kickoff","Punt"
"2019_02_ARI_BAL_3","Kickoff","Punt"
"2019_13_LAC_DEN_4","Kickoff","Turnover"
"2020_12_NO_DEN_13","Kickoff","Turnover"
"2018_07_CAR_PHI_1","Kickoff","Punt"
"2019_11_ATL_CAR_19","Kickoff","Turnover"
"2018_12_ARI_LAC_18","Punt","Punt"
"2020_10_SF_NO_21","Kickoff","Field Goal"
"2018_08_CLE_PIT_24","Kickoff","Touchdown"
"2016_09_BUF_SEA_18","Punt","Punt"
"2020_12_TEN_IND_13","Kickoff","Punt"
"2019_12_SEA_PHI_2","Punt","Punt"
"2016_10_DEN_NO_8","Punt","Punt"
"2021_16_CHI_SEA_11","Kickoff","Punt"
"2017_09_ATL_CAR_9","Punt","Turnover"
"2019_11_CHI_LA_16","Punt","Punt"
"2021_06_LAC_BAL_18","Punt","Touchdown"
