"kicker","kick_distance","roof","result","field"
"A.Vinatieri",26,"closed","made","dome"
"A.Vinatieri",50,"outdoors","made","stadium"
"A.Vinatieri",50,"outdoors","made","stadium"
"A.Vinatieri",43,"outdoors","made","stadium"
"A.Vinatieri",41,"closed","made","dome"
"A.Vinatieri",27,"open","made","stadium"
"A.Vinatieri",50,"dome","made","dome"
"A.Vinatieri",30,"open","made","stadium"
"A.Vinatieri",41,"outdoors","made","stadium"
"A.Vinatieri",48,"closed","missed","dome"
"A.Vinatieri",49,"closed","made","dome"
"A.Vinatieri",24,"closed","made","dome"
"A.Vinatieri",33,"outdoors","made","stadium"
"A.Vinatieri",31,"closed","made","dome"
"A.Vinatieri",52,"outdoors","missed","stadium"
"A.Vinatieri",55,"closed","missed","dome"
"A.Vinatieri",54,"open","made","stadium"
"A.Vinatieri",41,"outdoors","made","stadium"
"A.Vinatieri",34,"outdoors","missed","stadium"
"A.Vinatieri",20,"outdoors","made","stadium"
"A.Vinatieri",27,"closed","made","dome"
"A.Vinatieri",35,"closed","made","dome"
"A.Vinatieri",27,"closed","made","dome"
"A.Vinatieri",22,"outdoors","made","stadium"
"A.Vinatieri",45,"closed","made","dome"
"A.Vinatieri",36,"outdoors","made","stadium"
"A.Vinatieri",28,"outdoors","made","stadium"
"A.Vinatieri",49,"closed","made","dome"
"A.Vinatieri",43,"outdoors","missed","stadium"
"A.Vinatieri",29,"closed","made","dome"
"A.Vinatieri",51,"open","made","stadium"
"A.Vinatieri",29,"closed","made","dome"
"A.Vinatieri",52,"closed","made","dome"
"A.Vinatieri",23,"closed","made","dome"
"A.Vinatieri",30,"open","made","stadium"
"A.Vinatieri",48,"outdoors","made","stadium"
"A.Vinatieri",46,"outdoors","made","stadium"
"A.Vinatieri",31,"outdoors","made","stadium"
"A.Vinatieri",22,"closed","made","dome"
"A.Vinatieri",46,"outdoors","made","stadium"
"A.Vinatieri",47,"outdoors","made","stadium"
"A.Vinatieri",52,"closed","missed","dome"
"A.Vinatieri",29,"outdoors","missed","stadium"
"A.Vinatieri",26,"open","made","stadium"
"A.Vinatieri",43,"outdoors","made","stadium"
"A.Vinatieri",38,"outdoors","made","stadium"
"A.Vinatieri",32,"closed","made","dome"
"A.Vinatieri",38,"outdoors","missed","stadium"
"A.Vinatieri",19,"closed","made","dome"
"A.Vinatieri",35,"outdoors","made","stadium"
"A.Vinatieri",38,"outdoors","missed","stadium"
"A.Vinatieri",53,"outdoors","made","stadium"
"A.Vinatieri",20,"outdoors","made","stadium"
"A.Vinatieri",42,"outdoors","made","stadium"
"A.Vinatieri",20,"outdoors","made","stadium"
"A.Vinatieri",21,"outdoors","made","stadium"
"A.Vinatieri",24,"outdoors","made","stadium"
"A.Vinatieri",38,"closed","made","dome"
