"drive_id","drive_start","drive_end"
"2021_17_MIA_TEN_8","Fumble","Field Goal"
"2019_05_LA_SEA_2","Fumble","Field Goal"
"2019_05_CLE_SF_8","Fumble","Field Goal"
"2018_15_HOU_NYJ_21","Fumble","Field Goal"
"2021_15_SEA_LA_8","Fumble","Field Goal"
"2017_08_ATL_NYJ_3","Fumble","Field Goal"
"2016_10_GB_TEN_21","Fumble","Field Goal"
"2021_18_NE_MIA_14","Fumble","Field Goal"
"2020_16_CLE_NYJ_24","Fumble","Field Goal"
"2017_01_ARI_DET_6","Fumble","Field Goal"
"2019_17_CHI_MIN_17","Fumble","Field Goal"
"2016_06_SF_BUF_3","Fumble","Field Goal"
"2019_08_WAS_MIN_3","Fumble","Field Goal"
"2019_06_TEN_DEN_26","Fumble","Field Goal"
"2018_07_NO_BAL_15","Fumble","Field Goal"
"2021_17_MIN_GB_16","Fumble","Field Goal"
"2021_09_LAC_PHI_7","Fumble","Field Goal"
"2018_08_PHI_JAX_2","Fumble","Field Goal"
"2019_16_GB_MIN_2","Fumble","Field Goal"
"2017_14_WAS_LAC_9","Fumble","Field Goal"
"2019_06_CIN_BAL_11","Fumble","Field Goal"
"2017_07_TB_BUF_21","Fumble","Field Goal"
"2017_07_ATL_NE_14","Fumble","Field Goal"
"2018_16_LA_ARI_2","Fumble","Field Goal"
"2016_02_KC_HOU_13","Fumble","Field Goal"
"2016_06_JAX_CHI_18","Fumble","Field Goal"
"2020_02_NYG_CHI_3","Fumble","Field Goal"
"2018_17_OAK_KC_9","Fumble","Field Goal"
"2016_07_MIN_PHI_15","Fumble","Field Goal"
"2018_15_DAL_IND_11","Fumble","Field Goal"
"2017_14_TEN_ARI_14","Fumble","Field Goal"
"2017_05_ARI_PHI_20","Fumble","Field Goal"
"2020_03_GB_NO_17","Fumble","Field Goal"
"2020_17_DAL_NYG_4","Fumble","Field Goal"
"2020_13_WAS_PIT_24","Fumble","Field Goal"
"2020_13_LV_NYJ_8","Fumble","Field Goal"
"2017_14_MIN_CAR_15","Fumble","Field Goal"
"2017_17_DAL_PHI_22","Fumble","Field Goal"
"2017_02_HOU_CIN_7","Fumble","Field Goal"
"2019_14_CIN_CLE_17","Fumble","Field Goal"
"2020_03_KC_BAL_12","Fumble","Field Goal"
"2021_07_PHI_LV_8","Fumble","Field Goal"
